20260616T,28799,28799,28799,28799
20260619T,29023,29023,29023,29023
20260622T,29084,29084,29084,29084
20260623T,29148,29148,29148,29148
20260624T,28731,28731,28731,28731
20260625T,28840,28840,28840,28840
20260626T,28763,28763,28763,28763
20260702T,29362,29362,29362,29362
20260703T,29095,29095,29095,29095
20260708T,28983,28983,28983,28983
20260709T,28770,28770,28770,28770
20260710T,28924,28924,28924,28924
20260713T,28915,28915,28915,28915
20260714T,29045,29045,29045,29045
20260715T,29069,29069,29069,29069
